Symbol,Date,Open,High,Low,Close
SPGSCITR:IND,23-05-2018,2861.846,2861.846,2861.846,2861.846
SPGSCITR:IND,22-05-2018,2860.074,2860.074,2860.074,2860.074
SPGSCITR:IND,21-05-2018,2849.7,2849.7,2849.7,2849.7
SPGSCITR:IND,18-05-2018,2826.525,2826.525,2826.525,2826.525
SPGSCITR:IND,17-05-2018,2832.643,2832.643,2832.643,2832.643
SPGSCITR:IND,16-05-2018,2826.636,2826.636,2826.636,2826.636
SPGSCITR:IND,15-05-2018,2816.699,2816.699,2816.699,2816.699
SPGSCITR:IND,14-05-2018,2811.932,2811.932,2811.932,2811.932
SPGSCITR:IND,11-05-2018,2798.328,2798.328,2798.328,2798.328
SPGSCITR:IND,10-05-2018,2813.411,2813.411,2813.411,2813.411
SPGSCITR:IND,09-05-2018,2803.959,2803.959,2803.959,2803.959
SPGSCITR:IND,08-05-2018,2753.354,2753.354,2753.354,2753.354
SPGSCITR:IND,07-05-2018,2784.815,2784.815,2784.815,2784.815
SPGSCITR:IND,04-05-2018,2766.075,2766.075,2766.075,2766.075
SPGSCITR:IND,03-05-2018,2736.058,2736.058,2736.058,2736.058
SPGSCITR:IND,02-05-2018,2725.759,2725.759,2725.759,2725.759
SPGSCITR:IND,01-05-2018,2716.404,2716.404,2716.404,2716.404
SPGSCITR:IND,30-04-2018,2744.202,2744.202,2744.202,2744.202
SPGSCITR:IND,27-04-2018,2728.751,2728.751,2728.751,2728.751
SPGSCITR:IND,26-04-2018,2730.794,2730.794,2730.794,2730.794
SPGSCITR:IND,25-04-2018,2721.787,2721.787,2721.787,2721.787
SPGSCITR:IND,24-04-2018,2712.545,2712.545,2712.545,2712.545
SPGSCITR:IND,23-04-2018,2730.318,2730.318,2730.318,2730.318
SPGSCITR:IND,20-04-2018,2731.344,2731.344,2731.344,2731.344
SPGSCITR:IND,19-04-2018,2732.696,2732.696,2732.696,2732.696
SPGSCITR:IND,18-04-2018,2736.867,2736.867,2736.867,2736.867
SPGSCITR:IND,17-04-2018,2679.533,2679.533,2679.533,2679.533
SPGSCITR:IND,16-04-2018,2677.428,2677.428,2677.428,2677.428
SPGSCITR:IND,13-04-2018,2698.924,2698.924,2698.924,2698.924
SPGSCITR:IND,12-04-2018,2690.494,2690.494,2690.494,2690.494
SPGSCITR:IND,11-04-2018,2689.92,2689.92,2689.92,2689.92
SPGSCITR:IND,10-04-2018,2658.26,2658.26,2658.26,2658.26
SPGSCITR:IND,09-04-2018,2605.506,2605.506,2605.506,2605.506
SPGSCITR:IND,06-04-2018,2559.025,2559.025,2559.025,2559.025
SPGSCITR:IND,05-04-2018,2587.653,2587.653,2587.653,2587.653
